sno_x,constituency,winner,party,sno_y,state,population,growth,sr,literacy,values
426,banda,r. k. singh patel,sp,266,uttar pradesh,"1,799,410",17.05 %,863,66.67,2
427,fatehpur,rakesh sachan,sp,155,uttar pradesh,"2,632,733",14.05 %,901,67.43,2
428,kaushambi,shailendra kumar,sp,312,uttar pradesh,"1,599,596",23.70 %,908,61.28,2
430,allahabad,kunwar rewati raman singh,sp,13,uttar pradesh,"5,954,391",20.63 %,901,72.32,2
431,barabanki,p.l.punia,inc,107,uttar pradesh,"3,260,699",21.96 %,910,61.75,1
432,faizabad,nirmal khatri,inc,176,uttar pradesh,"2,470,996",18.29 %,962,68.73,1
433,ambedkar nagar,rakesh pandey,bsp,186,uttar pradesh,"2,397,888",18.30 %,978,72.23,1
434,bahraich,kamal kishor,inc,89,uttar pradesh,"3,487,731",46.48 %,892,49.36,1
436,shrawasti,vinay kumar alias vinnu,inc,414,uttar pradesh,"1,117,361",-5.02 %,881,46.74,1
437,gonda,beni prasad verma,inc,95,uttar pradesh,"3,433,919",24.17 %,921,58.71,1
439,basti,arvind kumar chaudhary,bsp,178,uttar pradesh,"2,464,464",18.21 %,963,67.22,1
440,sant kabir nagar,bhisma shankar alias kushal,bsp,283,uttar pradesh,"1,715,183",20.77 %,972,66.72,1
442,gorakhpur,adityanath,bjp,40,uttar pradesh,"4,440,895",17.81 %,950,70.83,0
444,deoria,gorakh prasad jaiswal,bsp,113,uttar pradesh,"3,100,946",14.31 %,1017,71.13,1
447,azamgarh,ramakant yadav,bjp,30,uttar pradesh,"4,613,913",17.11 %,1019,70.93,0
450,ballia,neeraj shekhar,sp,108,uttar pradesh,"3,239,774",17.31 %,937,70.94,2
451,jaunpur,dhananjay singh,bsp,36,uttar pradesh,"4,494,204",14.89 %,1024,71.55,1
453,ghazipur,radhey mohan singh,sp,79,uttar pradesh,"3,620,268",19.18 %,952,71.78,2
454,chandauli,ramkishun,sp,238,uttar pradesh,"1,952,756",18.83 %,918,71.48,2
455,varanasi,dr. murli manohar joshi,bjp,75,uttar pradesh,"3,676,841",17.15 %,913,75.6,0
457,mirzapur,bal kumar patel,sp,173,uttar pradesh,"2,496,970",18.00 %,903,68.48,2
461,jalpaiguri,mahendra kumar roy,cpm,66,west bengal,"3,872,846",13.87 %,953,73.25,2
469,murshidabad,abdul mannan hossain,inc,9,west bengal,"7,103,807",21.09 %,958,66.59,1
494,bankura,acharia basudeb,cpm,80,west bengal,"3,596,674",12.65 %,957,70.26,2
495,bishnupur,susmita bauri,cpm,585,manipur,"237,399",13.93 %,999,75.85,2
500,birbhum,satabdi roy,aitc,84,west bengal,"3,502,404",16.15 %,956,70.68,2
502,raigarh,vishnu deo sai,bjp,154,maharashtra,"2,634,200",19.31 %,959,83.14,0
502,raigarh,vishnu deo sai,bjp,336,chhattisgarh,"1,493,984",18.05 %,991,73.26,0
504,korba,charan das mahant,inc,394,chhattisgarh,"1,206,640",19.25 %,969,72.37,1
505,bilaspur,dilip singh judev,bjp,152,chhattisgarh,"2,663,629",33.29 %,971,70.78,0
505,bilaspur,dilip singh judev,bjp,563,himachal pradesh,"381,956",12.05 %,981,84.59,0
506,rajnandgaon,madhusudan yadav,bjp,324,chhattisgarh,"1,537,133",19.79 %,1015,75.96,0
507,durg,saroj pandey,bjp,100,chhattisgarh,"3,343,872",18.98 %,988,79.06,0
508,raipur,ramesh bais,bjp,53,chhattisgarh,"4,063,872",34.70 %,984,75.56,0
509,mahasamund,chandulal sahu (chandu bhaiya),bjp,438,chhattisgarh,"1,032,754",20.05 %,1017,71.02,0
510,bastar,baliram kashyap,bjp,348,chhattisgarh,"1,413,199",17.96 %,1023,54.4,0
511,kanker,sohan potai,bjp,494,chhattisgarh,"748,941",15.06 %,1006,70.29,0
513,dumka,shibu soren,jmm,371,jharkhand,"1,321,442",19.42 %,977,61.02,1
514,godda,nishikant dubey,bjp,372,jharkhand,"1,313,551",25.35 %,938,56.4,0
515,chatra,inder singh namdhari,ind,433,jharkhand,"1,042,886",31.77 %,953,60.18,1
516,kodarma,babulal marandi,jvm,500,jharkhand,"716,259",43.42 %,950,66.84,0
517,giridih,ravindra kumar pandey,bjp,182,jharkhand,"2,445,474",28.41 %,944,63.14,0
518,dhanbad,pashupati nath singh,bjp,149,jharkhand,"2,684,487",11.99 %,909,74.52,0
519,ranchi,subodh kant sahay,inc,130,jharkhand,"2,914,253",23.98 %,949,76.06,1
522,khunti,karia munda,bjp,541,jharkhand,"531,885",22.32 %,997,63.86,0
523,lohardaga,sudarshan bhagat,bjp,550,jharkhand,"461,790",26.68 %,985,67.61,0
525,hazaribagh,yashwant sinha,bjp,279,jharkhand,"1,734,495",20.65 %,947,69.75,0
526,tehri garhwal,vijay bahuguna,inc,518,uttarakhand,"618,931",2.35 %,1077,76.36,1
528,almora,pradeep tamta,inc,517,uttarakhand,"622,506",-1.28 %,1139,80.47,1
532,chandigarh,pawan kumar bansal,inc,431,chandigarh,"1,055,450",17.19 %,818,86.05,1
536,north east delhi,jai prakash agarwal,inc,202,delhi,"2,241,624",26.78 %,886,83.09,1
537,east delhi,sandeep dikshit,inc,284,delhi,"1,709,346",16.79 %,884,89.31,1
538,new delhi,ajay makan,inc,603,delhi,"142,004",-20.72 %,822,88.34,1
539,north west delhi,krishna tirath,inc,78,delhi,"3,656,539",27.81 %,865,84.45,1
540,west delhi,mahabal mishra,inc,168,delhi,"2,543,243",19.46 %,875,86.98,1
541,south delhi,ramesh kumar,inc,144,delhi,"2,731,929",20.51 %,862,86.57,1
542,lakshadweep,hamdullah sayeed,inc,627,lakshadweep,"64,473",6.30 %,946,91.85,1
543,puducherry,narayanasamy,inc,458,puducherry,"950,289",29.23 %,1029,85.44,1
