constituency,water_per,sno_x,winner,party,sno_y,state,population,growth,sr,literacy,values
kishanganj,0.4243173443825195,68,mohammad asrarul haque,inc,293,bihar,"1,690,400",30.40 %,950,55.46,1
mathura,0.471966950920559,395,jayant chaudhary,rld,167,uttar pradesh,"2,547,184",22.78 %,863,70.36,1
sangrur,0.8140910104130179,310,vijay inder singla,inc,300,punjab,"1,655,169",12.35 %,885,67.99,1
muzaffarnagar,0.7019226959128954,381,kadir rana,bsp,49,uttar pradesh,"4,143,512",16.94 %,889,69.12,1
west delhi,0.8066365860038992,540,mahabal mishra,inc,168,delhi,"2,543,243",19.46 %,875,86.98,1
vellore,0.3497484142440888,345,abdul rahman,dmk,63,tamil nadu,"3,936,331",13.20 %,1007,79.17,1
sheohar,0.3890415007152979,62,rama devi,bjp,511,bihar,"656,246",27.19 %,893,53.78,0
barmer,0.1271930608161223,328,harish choudhary,inc,158,rajasthan,"2,603,751",32.52 %,902,56.53,1
ajmer,0.4011460311490687,324,sachin pilot,inc,161,rajasthan,"2,583,052",18.40 %,951,69.33,1
alappuzha,0.7273465524584733,189,k.c venugopal,inc,215,kerala,"2,127,789",0.88 %,1100,95.72,1
jamui,0.2171357580986795,98,bhudeo choudhary,jd(u),273,bihar,"1,760,405",25.85 %,922,59.79,2
hassan,,162,h. d. devegowda,jd(s),269,karnataka,"1,776,421",3.18 %,1010,76.07,1
thoothukkudi,0.304395206795255,373,jeyadurai.s.r,dmk,276,tamil nadu,"1,750,176",11.32 %,1023,86.16,1
jabalpur,0.3639445545784801,207,rakesh singh,bjp,179,madhya pradesh,"2,463,289",14.51 %,929,81.07,0
firozabad,0.3343709889917917,398,akhilesh yadav,sp,172,uttar pradesh,"2,498,156",21.69 %,875,71.92,2
akola,0.4872844414332647,229,dhotre sanjay shamrao,bjp,262,maharashtra,"1,813,906",11.27 %,946,88.05,0
rampur,0.8673778279335402,385,jaya prada nahata,sp,194,uttar pradesh,"2,335,819",21.42 %,909,53.34,2
satara,0.6549557108682982,268,bhonsle shrimant chh. udyanraje,ncp,124,maharashtra,"3,003,741",6.93 %,988,82.87,1
kottayam,0.7293845599881779,188,jose k.mani (karingozheckal),kec(m),234,kerala,"1,974,551",1.07 %,1039,97.21,1
ambedkar nagar,0.4801362026247266,433,rakesh pandey,bsp,186,uttar pradesh,"2,397,888",18.30 %,978,72.23,1
jorhat,0.449223140212253,56,bijoy krishna handique,inc,418,assam,"1,092,256",9.31 %,962,82.15,1
almora,0.2612292380275318,528,pradeep tamta,inc,517,uttarakhand,"622,506",-1.28 %,1139,80.47,1
madhubani,0.3842285247781848,64,hukmadeo narayan yadav,bjp,37,bihar,"4,487,379",25.51 %,926,58.62,0
namakkal,0.2943483821273158,353,gandhiselvan.s,dmk,280,tamil nadu,"1,726,601",15.61 %,986,74.63,1
begusarai,0.5261679891295231,82,dr. monazir hassan,jd(u),126,bihar,"2,970,541",26.44 %,895,63.87,2
giridih,0.1636104923259283,517,ravindra kumar pandey,bjp,182,jharkhand,"2,445,474",28.41 %,944,63.14,0
chandigarh,0.8614572387593008,532,pawan kumar bansal,inc,431,chandigarh,"1,055,450",17.19 %,818,86.05,1
nagapattinam,0.253230293513241,366,vijayan a k s,dmk,310,tamil nadu,"1,616,450",8.57 %,1025,83.59,1
ballia,0.6339648453693724,450,neeraj shekhar,sp,108,uttar pradesh,"3,239,774",17.31 %,937,70.94,2
sant kabir nagar,0.5044760502247714,440,bhisma shankar alias kushal,bsp,283,uttar pradesh,"1,715,183",20.77 %,972,66.72,1
ranchi,0.3575124508566081,519,subodh kant sahay,inc,130,jharkhand,"2,914,253",23.98 %,949,76.06,1
jhansi,0.3782815029869912,424,pradeep kumar jain (aditya),inc,232,uttar pradesh,"1,998,603",14.54 %,890,75.05,1
koppal,0.2270004163518327,154,shivaramagouda shivanagouda,bjp,351,karnataka,"1,389,920",16.21 %,986,68.09,0
faizabad,0.5499905463718411,432,nirmal khatri,inc,176,uttar pradesh,"2,470,996",18.29 %,962,68.73,1
raigarh,0.5678408218415661,502,vishnu deo sai,bjp,154,maharashtra,"2,634,200",19.31 %,959,83.14,0
raigarh,0.5678408218415661,502,vishnu deo sai,bjp,336,chhattisgarh,"1,493,984",18.05 %,991,73.26,0
korba,0.2585835399590718,504,charan das mahant,inc,394,chhattisgarh,"1,206,640",19.25 %,969,72.37,1
bareilly,0.8663092216525378,403,praveen singh aron,inc,39,uttar pradesh,"4,448,359",22.93 %,887,58.49,1
valsad,0.4517224420326695,126,kishanbhai vestabhai patel,inc,286,gujarat,"1,705,678",20.92 %,922,78.55,1
surat,0.7764178599182869,124,shrimati darshana vikram,bjp,12,gujarat,"6,081,322",42.24 %,787,85.53,0
pilibhit,0.825891498602927,404,feroze varun gandhi,bjp,229,uttar pradesh,"2,031,007",23.45 %,895,61.47,0
karur,0.3689238764903699,360,thambidurai.m,admk,429,tamil nadu,"1,064,493",13.77 %,1015,75.6,2
dhubri,0.6520910851264442,48,badruddin ajmal,audf,240,assam,"1,949,258",24.44 %,953,58.34,2
bharuch,0.6107556595384037,122,mansukhbhai dhanjibhai vasava,bjp,321,gujarat,"1,551,019",13.16 %,925,81.51,0
chatra,0.1605974175289643,515,inder singh namdhari,ind,433,jharkhand,"1,042,886",31.77 %,953,60.18,1
kurukshetra,0.8036021874007058,128,naveen jindal,inc,452,haryana,"964,655",16.86 %,888,76.31,1
bankura,0.197305000542014,494,acharia basudeb,cpm,80,west bengal,"3,596,674",12.65 %,957,70.26,2
dewas,0.2296565619442019,215,sajjan singh verma,inc,320,madhya pradesh,"1,563,715",19.53 %,942,69.35,1
lohardaga,0.1157148802873978,523,sudarshan bhagat,bjp,550,jharkhand,"461,790",26.68 %,985,67.61,0
gurdaspur,0.9121128354498484,299,partap singh bajwa,inc,197,punjab,"2,298,323",9.26 %,895,79.95,1
dhar,0.2130353276339703,219,gajendra singh rajukhedi,inc,209,madhya pradesh,"2,185,793",25.60 %,964,59.0,1
kokrajhar,0.5748399242521005,49,sansuma khunggur,bopf,468,assam,"887,142",5.21 %,959,65.22,1
moradabad,0.8294757874911276,384,mohammed azharuddin,inc,26,uttar pradesh,"4,772,006",25.22 %,906,56.77,1
bellary,0.3418613920581934,155,j. shantha,bjp,181,karnataka,"2,452,595",20.99 %,983,67.43,0
farrukhabad,0.3516308723089308,418,salman khursheed,inc,250,uttar pradesh,"1,885,204",20.05 %,874,69.04,1
chandrapur,0.4102663836922124,236,ahir hansaraj gangaram,bjp,207,maharashtra,"2,204,307",6.43 %,961,80.01,0
medak,0.4171985890060051,37,vijaya shanthi .m,trs,121,andhra pradesh,"3,033,288",13.60 %,992,61.42,1
bhopal,0.4859436186570989,213,kailash joshi,bjp,189,madhya pradesh,"2,371,061",28.62 %,918,80.37,0
etawah,0.3349834563964363,419,premdas,sp,315,uttar pradesh,"1,581,810",18.15 %,870,78.41,2
gandhinagar,0.7732555710306407,106,l.k.advani,bjp,350,gujarat,"1,391,753",4.29 %,923,84.16,0
ghaziabad,0.8189573208426172,390,rajnath singh,bjp,27,uttar pradesh,"4,681,645",42.27 %,881,78.07,0
palakkad,0.7169303200607365,182,m.b. rajesh,cpm,139,kerala,"2,809,934",7.35 %,1067,89.31,2
ludhiana,0.9224777406633672,305,manish tewari,inc,86,punjab,"3,498,739",15.36 %,873,82.2,1
tiruvannamalai,0.2662676312737668,348,venugopal.d,dmk,177,tamil nadu,"2,464,875",12.75 %,994,74.21,1
dhanbad,0.3284553236414192,518,pashupati nath singh,bjp,149,jharkhand,"2,684,487",11.99 %,909,74.52,0
sambalpur,0.2308332228156686,280,amarnath pradhan,inc,436,orissa,"1,041,099",11.27 %,976,76.22,1
tiruchirappalli,0.4098140548931872,361,kumar.p,admk,146,tamil nadu,"2,722,290",12.57 %,1013,83.23,2
davanagere,0.2996615947040806,159,g.m. siddeswara,bjp,241,karnataka,"1,945,497",8.63 %,972,75.74,0
kasaragod,0.7304733307937646,175,p karunakaran,cpm,375,kerala,"1,307,375",8.58 %,1080,90.09,2
barabanki,0.4656263596122716,431,p.l.punia,inc,107,uttar pradesh,"3,260,699",21.96 %,910,61.75,1
belgaum,0.3530786190439136,148,angadi suresh channabasappa,bjp,25,karnataka,"4,779,661",13.41 %,973,73.48,0
jalgaon,0.6432024870549998,226,a.t. nana patil,bjp,46,maharashtra,"4,229,917",14.86 %,925,78.2,0
maharajganj,0.467970061439422,77,uma shanaker singh,rjd,148,uttar pradesh,"2,684,703",23.50 %,943,62.76,1
maharajganj,0.467970061439422,441,harsh vardhan,inc,148,uttar pradesh,"2,684,703",23.50 %,943,62.76,1
nashik,0.5845353653711409,244,sameer bhujbal,ncp,11,maharashtra,"6,107,187",22.30 %,934,82.31,1
kalahandi,0.0848290819981522,288,bhakta charan das,inc,317,orissa,"1,576,869",18.07 %,1003,59.22,1
bijapur,0.0488075870005158,150,ramesh chandappa jigajinagi,bjp,210,karnataka,"2,177,331",20.50 %,960,67.15,0
bijapur,0.0488075870005158,150,ramesh chandappa jigajinagi,bjp,581,chhattisgarh,"255,230",8.78 %,984,40.86,0
uttara kannada,0.5828227762634725,158,anantkumar hegde,bjp,345,karnataka,"1,437,169",6.17 %,979,84.06,0
