constituency,elec_per,sno_x,winner,party,sno_y,state,population,growth,sr,literacy,values
jabalpur,0.8776651411862245,207,rakesh singh,bjp,179,madhya pradesh,"2,463,289",14.51 %,929,81.07,0
firozabad,0.4757525834229049,398,akhilesh yadav,sp,172,uttar pradesh,"2,498,156",21.69 %,875,71.92,2
akola,0.8040446393189052,229,dhotre sanjay shamrao,bjp,262,maharashtra,"1,813,906",11.27 %,946,88.05,0
rampur,0.3332443746330453,385,jaya prada nahata,sp,194,uttar pradesh,"2,335,819",21.42 %,909,53.34,2
satara,0.8791466861666971,268,bhonsle shrimant chh. udyanraje,ncp,124,maharashtra,"3,003,741",6.93 %,988,82.87,1
kottayam,0.965836408556092,188,jose k.mani (karingozheckal),kec(m),234,kerala,"1,974,551",1.07 %,1039,97.21,1
jorhat,0.5236103604183289,56,bijoy krishna handique,inc,418,assam,"1,092,256",9.31 %,962,82.15,1
almora,0.789015992014764,528,pradeep tamta,inc,517,uttarakhand,"622,506",-1.28 %,1139,80.47,1
madhubani,0.1256529112994557,64,hukmadeo narayan yadav,bjp,37,bihar,"4,487,379",25.51 %,926,58.62,0
namakkal,0.9231554953668916,353,gandhiselvan.s,dmk,280,tamil nadu,"1,726,601",15.61 %,986,74.63,1
begusarai,0.2019308516884467,82,dr. monazir hassan,jd(u),126,bihar,"2,970,541",26.44 %,895,63.87,2
giridih,0.3204282561157548,517,ravindra kumar pandey,bjp,182,jharkhand,"2,445,474",28.41 %,944,63.14,0
chandigarh,0.9835914932719592,532,pawan kumar bansal,inc,431,chandigarh,"1,055,450",17.19 %,818,86.05,1
nagapattinam,0.9255651196153696,366,vijayan a k s,dmk,310,tamil nadu,"1,616,450",8.57 %,1025,83.59,1
ballia,0.248677555758229,450,neeraj shekhar,sp,108,uttar pradesh,"3,239,774",17.31 %,937,70.94,2
ranchi,0.6302351519157168,519,subodh kant sahay,inc,130,jharkhand,"2,914,253",23.98 %,949,76.06,1
jhansi,0.5118083859081012,424,pradeep kumar jain (aditya),inc,232,uttar pradesh,"1,998,603",14.54 %,890,75.05,1
koppal,0.8603293805609955,154,shivaramagouda shivanagouda,bjp,351,karnataka,"1,389,920",16.21 %,986,68.09,0
faizabad,0.3057566612178666,432,nirmal khatri,inc,176,uttar pradesh,"2,470,996",18.29 %,962,68.73,1
raigarh,0.9173397439121296,502,vishnu deo sai,bjp,154,maharashtra,"2,634,200",19.31 %,959,83.14,0
raigarh,0.9173397439121296,502,vishnu deo sai,bjp,336,chhattisgarh,"1,493,984",18.05 %,991,73.26,0
korba,0.7304264971794233,504,charan das mahant,inc,394,chhattisgarh,"1,206,640",19.25 %,969,72.37,1
bareilly,0.365615058253442,403,praveen singh aron,inc,39,uttar pradesh,"4,448,359",22.93 %,887,58.49,1
valsad,0.9096229084237748,126,kishanbhai vestabhai patel,inc,286,gujarat,"1,705,678",20.92 %,922,78.55,1
surat,0.9636692391145444,124,shrimati darshana vikram,bjp,12,gujarat,"6,081,322",42.24 %,787,85.53,0
pilibhit,0.2296345478186295,404,feroze varun gandhi,bjp,229,uttar pradesh,"2,031,007",23.45 %,895,61.47,0
karur,0.9204475973430422,360,thambidurai.m,admk,429,tamil nadu,"1,064,493",13.77 %,1015,75.6,2
dhubri,0.1741835447769292,48,badruddin ajmal,audf,240,assam,"1,949,258",24.44 %,953,58.34,2
bharuch,0.9223898680386036,122,mansukhbhai dhanjibhai vasava,bjp,321,gujarat,"1,551,019",13.16 %,925,81.51,0
chatra,0.1494483505792871,515,inder singh namdhari,ind,433,jharkhand,"1,042,886",31.77 %,953,60.18,1
kurukshetra,0.9582866476021652,128,naveen jindal,inc,452,haryana,"964,655",16.86 %,888,76.31,1
bankura,0.4424288573551302,494,acharia basudeb,cpm,80,west bengal,"3,596,674",12.65 %,957,70.26,2
dewas,0.887494995766911,215,sajjan singh verma,inc,320,madhya pradesh,"1,563,715",19.53 %,942,69.35,1
lohardaga,0.3150971501171934,523,sudarshan bhagat,bjp,550,jharkhand,"461,790",26.68 %,985,67.61,0
gurdaspur,0.9536283776889326,299,partap singh bajwa,inc,197,punjab,"2,298,323",9.26 %,895,79.95,1
dhar,0.8328446236776851,219,gajendra singh rajukhedi,inc,209,madhya pradesh,"2,185,793",25.60 %,964,59.0,1
kokrajhar,0.2297593726918826,49,sansuma khunggur,bopf,468,assam,"887,142",5.21 %,959,65.22,1
moradabad,0.3590467658673775,384,mohammed azharuddin,inc,26,uttar pradesh,"4,772,006",25.22 %,906,56.77,1
bellary,0.9142004218358162,155,j. shantha,bjp,181,karnataka,"2,452,595",20.99 %,983,67.43,0
farrukhabad,0.2859252863115797,418,salman khursheed,inc,250,uttar pradesh,"1,885,204",20.05 %,874,69.04,1
chandrapur,0.7905145653799385,236,ahir hansaraj gangaram,bjp,207,maharashtra,"2,204,307",6.43 %,961,80.01,0
medak,0.9069460858714627,37,vijaya shanthi .m,trs,121,andhra pradesh,"3,033,288",13.60 %,992,61.42,1
bhopal,0.9285740645822655,213,kailash joshi,bjp,189,madhya pradesh,"2,371,061",28.62 %,918,80.37,0
etawah,0.4107680517773024,419,premdas,sp,315,uttar pradesh,"1,581,810",18.15 %,870,78.41,2
gandhinagar,0.914133008356546,106,l.k.advani,bjp,350,gujarat,"1,391,753",4.29 %,923,84.16,0
ghaziabad,0.837664473882409,390,rajnath singh,bjp,27,uttar pradesh,"4,681,645",42.27 %,881,78.07,0
palakkad,0.9352143208438182,182,m.b. rajesh,cpm,139,kerala,"2,809,934",7.35 %,1067,89.31,2
ludhiana,0.9825723637907344,305,manish tewari,inc,86,punjab,"3,498,739",15.36 %,873,82.2,1
tiruvannamalai,0.925518824671647,348,venugopal.d,dmk,177,tamil nadu,"2,464,875",12.75 %,994,74.21,1
dhanbad,0.8557511433774257,518,pashupati nath singh,bjp,149,jharkhand,"2,684,487",11.99 %,909,74.52,0
sambalpur,0.5083732201632446,280,amarnath pradhan,inc,436,orissa,"1,041,099",11.27 %,976,76.22,1
tiruchirappalli,0.9297554975943566,361,kumar.p,admk,146,tamil nadu,"2,722,290",12.57 %,1013,83.23,2
davanagere,0.920538978361822,159,g.m. siddeswara,bjp,241,karnataka,"1,945,497",8.63 %,972,75.74,0
kasaragod,0.8876166147548943,175,p karunakaran,cpm,375,kerala,"1,307,375",8.58 %,1080,90.09,2
barabanki,0.1904399551184833,431,p.l.punia,inc,107,uttar pradesh,"3,260,699",21.96 %,910,61.75,1
belgaum,0.8391844992607579,148,angadi suresh channabasappa,bjp,25,karnataka,"4,779,661",13.41 %,973,73.48,0
jalgaon,0.8083725019822645,226,a.t. nana patil,bjp,46,maharashtra,"4,229,917",14.86 %,925,78.2,0
maharajganj,0.2066558450552068,77,uma shanaker singh,rjd,148,uttar pradesh,"2,684,703",23.50 %,943,62.76,1
maharajganj,0.2066558450552068,441,harsh vardhan,inc,148,uttar pradesh,"2,684,703",23.50 %,943,62.76,1
nashik,0.7665130607400027,244,sameer bhujbal,ncp,11,maharashtra,"6,107,187",22.30 %,934,82.31,1
kalahandi,0.2252170132455893,288,bhakta charan das,inc,317,orissa,"1,576,869",18.07 %,1003,59.22,1
bijapur,0.2483234792270148,150,ramesh chandappa jigajinagi,bjp,210,karnataka,"2,177,331",20.50 %,960,67.15,0
bijapur,0.2483234792270148,150,ramesh chandappa jigajinagi,bjp,581,chhattisgarh,"255,230",8.78 %,984,40.86,0
